State,City,LocationType,SpecificLocation,TimeOfDay,CrowdDensity,Lighting,Weather,CrimeRate,AccidentRisk,SafetyIndex,EmergencySOS,CommunityReports,AccessibilityMode,TravelCompanion,HealthAlerts
Madhya Pradesh,Indore,Industrial,Bus Stop,Afternoon,High,Poor,Clear,Medium,High,28,Enabled,13 reports,VibrationOnly,English+Malayalam,Heatwave=Moderate
Assam,Guwahati,Tourist,Apartment Complex,Evening,Low,Good,Rainy,High,Medium,31,Enabled,13 reports,Voice+Vibration,English+Kannada,Heatwave=Moderate
Punjab,Amritsar,Transit,Factory Zone,Evening,High,Poor,Foggy,Low,Medium,94,Disabled,13 reports,Voice+LargeButtons,English+Gujarati,AQI=Poor
Uttar Pradesh,Kanpur,Industrial,Railway Station,Night,Medium,Poor,Foggy,High,Low,39,Disabled,16 reports,Voice+Vibration,English+Malayalam,StormWarning=Active
Rajasthan,Udaipur,Residential,Apartment Complex,Morning,Medium,Poor,Stormy,Low,Low,63,Enabled,9 reports,VoiceOnly,English+Gujarati,AQI=Poor
Punjab,Patiala,Tourist,Beach,Evening,Medium,Good,Rainy,Low,Medium,44,Disabled,7 reports,Voice+LargeButtons,English+Assamese,FloodAlert=Active
Delhi,Dwarka,Industrial,Bus Stop,Night,Low,Poor,Rainy,Low,Low,47,Enabled,10 reports,Voice+Vibration,English+Punjabi,AQI=Moderate
Goa,Panaji,Sensitive,Beach,Evening,Low,Good,Foggy,Medium,High,79,Enabled,14 reports,VoiceOnly,English+Kannada,AQI=Moderate
Odisha,Cuttack,Residential,Beach,Night,High,Good,Rainy,Low,High,90,Enabled,3 reports,Voice+Vibration,English+Bengali,FloodAlert=Active
Tamil Nadu,Madurai,Tourist,Forest Path,Afternoon,High,Good,Stormy,Medium,High,18,Enabled,4 reports,VibrationOnly,English+Telugu,FloodAlert=Active
West Bengal,Kolkata,Residential,Bus Stop,Afternoon,Medium,Good,Sunny,Low,High,21,Disabled,18 reports,Voice+Vibration,English+Telugu,AQI=Good
West Bengal,Howrah,Transit,City Market,Afternoon,Low,Poor,Foggy,High,Medium,92,Enabled,8 reports,Voice+Vibration,English+Hindi,AQI=Poor
West Bengal,Siliguri,Urban,Factory Zone,Afternoon,Low,Good,Foggy,High,High,58,Disabled,12 reports,Voice+LargeButtons,English+Assamese,Heatwave=Moderate
Haryana,Panipat,Urban,Forest Path,Morning,High,Poor,Rainy,High,Medium,52,Enabled,1 reports,Voice+Vibration,English+Telugu,FloodAlert=Active
Goa,Margao,Industrial,Temple Area,Evening,Low,Poor,Foggy,Medium,Medium,79,Disabled,5 reports,VibrationOnly,English+Gujarati,AQI=Poor
Assam,Tezpur,Transit,Metro Station,Morning,High,Good,Sunny,High,Low,73,Enabled,1 reports,VibrationOnly,English+Tamil,AQI=Poor
Meghalaya,Tura,Industrial,Temple Area,Morning,Medium,Poor,Sunny,Low,Medium,57,Disabled,0 reports,Voice+LargeButtons,English+Gujarati,AQI=Moderate
Assam,Tezpur,Industrial,City Market,Evening,High,Poor,Clear,High,Low,83,Enabled,3 reports,VibrationOnly,English+Tamil,AQI=Moderate
Haryana,Panipat,Residential,Metro Station,Evening,High,Good,Rainy,High,High,33,Disabled,6 reports,VibrationOnly,English+Bengali,AQI=Good
Karnataka,Mysuru,Tourist,Factory Zone,Night,Low,Poor,Clear,Medium,Medium,71,Disabled,4 reports,VoiceOnly,English+Tamil,AQI=Poor
Jharkhand,Dhanbad,Residential,Bus Stop,Evening,Medium,Poor,Sunny,Medium,Low,93,Disabled,15 reports,Voice+Vibration,English+Punjabi,AQI=Poor
Jharkhand,Dhanbad,Industrial,Park,Evening,Medium,Good,Rainy,Medium,Low,78,Enabled,16 reports,Voice+Vibration,English+Punjabi,Heatwave=Moderate
Odisha,Bhubaneswar,Residential,Temple Area,Night,Medium,Poor,Stormy,Medium,Low,68,Enabled,7 reports,VoiceOnly,English+Punjabi,AQI=Poor
Uttar Pradesh,Lucknow,Industrial,Park,Morning,High,Poor,Foggy,Medium,High,54,Disabled,13 reports,VoiceOnly,English+Gujarati,AQI=Good
Assam,Tezpur,Urban,Railway Station,Afternoon,High,Poor,Rainy,High,High,11,Enabled,11 reports,VoiceOnly,English+Gujarati,StormWarning=Active
Rajasthan,Jodhpur,Residential,Beach,Night,High,Good,Clear,Medium,High,12,Enabled,15 reports,VibrationOnly,English+Bengali,Heatwave=Moderate
Rajasthan,Jaipur,Public,Park,Evening,High,Poor,Sunny,High,Medium,29,Enabled,3 reports,VibrationOnly,English+Hindi,Heatwave=Moderate
Nagaland,Dimapur,Public,Forest Path,Evening,High,Poor,Foggy,Low,Low,34,Disabled,6 reports,Voice+Vibration,English+Punjabi,AQI=Good
Goa,Margao,Urban,Beach,Evening,High,Poor,Sunny,Medium,Low,41,Enabled,13 reports,Voice+LargeButtons,English+Tamil,AQI=Moderate
Karnataka,Hubli,Industrial,Beach,Evening,Low,Good,Stormy,Low,Low,20,Enabled,1 reports,Voice+Vibration,English+Hindi,AQI=Poor
Goa,Vasco,Sensitive,Forest Path,Night,High,Good,Rainy,Medium,High,88,Enabled,8 reports,VibrationOnly,English+Punjabi,FloodAlert=Active
Madhya Pradesh,Indore,Sensitive,Railway Station,Evening,Low,Good,Stormy,Medium,Low,70,Disabled,13 reports,Voice+Vibration,English+Hindi,AQI=Moderate
Rajasthan,Jodhpur,Transit,Bus Stop,Morning,High,Poor,Foggy,High,Low,97,Disabled,5 reports,Voice+Vibration,English+Hindi,FloodAlert=Active
Assam,Guwahati,Sensitive,Beach,Morning,High,Poor,Clear,Low,Low,80,Enabled,0 reports,Voice+Vibration,English+Punjabi,AQI=Good
Karnataka,Mysuru,Transit,Metro Station,Morning,Low,Poor,Stormy,High,Medium,70,Enabled,9 reports,VoiceOnly,English+Tamil,FloodAlert=Active
Gujarat,Ahmedabad,Tourist,Metro Station,Night,High,Poor,Rainy,Low,Low,93,Enabled,5 reports,Voice+LargeButtons,English+Kannada,AQI=Poor
Uttar Pradesh,Kanpur,Transit,Apartment Complex,Evening,Medium,Poor,Rainy,High,Medium,45,Disabled,2 reports,Voice+Vibration,English+Assamese,StormWarning=Active
Telangana,Nizamabad,Urban,Temple Area,Night,High,Poor,Rainy,Low,Low,44,Disabled,12 reports,VoiceOnly,English+Punjabi,Heatwave=Moderate
Nagaland,Mokokchung,Public,Park,Morning,Medium,Poor,Rainy,High,Medium,48,Enabled,15 reports,Voice+Vibration,English+Punjabi,StormWarning=Active
Goa,Margao,Transit,Park,Night,High,Good,Stormy,High,Medium,77,Disabled,6 reports,VibrationOnly,English+Tamil,StormWarning=Active
Rajasthan,Jaipur,Industrial,Temple Area,Night,Medium,Good,Clear,Medium,Low,59,Disabled,19 reports,VoiceOnly,English+Gujarati,AQI=Good
Chhattisgarh,Raipur,Tourist,Temple Area,Evening,High,Good,Rainy,Medium,Low,74,Enabled,7 reports,Voice+Vibration,English+Telugu,FloodAlert=Active
Haryana,Gurgaon,Industrial,Forest Path,Afternoon,Medium,Good,Sunny,Medium,Medium,24,Enabled,1 reports,VibrationOnly,English+Malayalam,StormWarning=Active
Gujarat,Surat,Industrial,Apartment Complex,Night,Low,Poor,Sunny,Medium,Medium,85,Enabled,13 reports,VoiceOnly,English+Bengali,AQI=Good
Gujarat,Vadodara,Public,Park,Evening,Medium,Poor,Sunny,Low,Low,94,Disabled,11 reports,VibrationOnly,English+Tamil,AQI=Poor
Telangana,Hyderabad,Residential,Bus Stop,Afternoon,Medium,Poor,Clear,Medium,High,36,Disabled,16 reports,Voice+Vibration,English+Gujarati,AQI=Moderate
Goa,Vasco,Sensitive,Forest Path,Morning,High,Good,Foggy,Low,Medium,59,Enabled,20 reports,Voice+LargeButtons,English+Hindi,Heatwave=Moderate
Kerala,Thiruvananthapuram,Residential,Forest Path,Evening,Low,Good,Rainy,High,High,90,Enabled,1 reports,Voice+LargeButtons,English+Gujarati,Heatwave=Moderate
Chhattisgarh,Korba,Tourist,Beach,Afternoon,Low,Poor,Stormy,High,High,18,Disabled,18 reports,VoiceOnly,English+Tamil,FloodAlert=Active
Jharkhand,Dhanbad,Transit,Park,Afternoon,High,Poor,Foggy,High,Medium,64,Disabled,15 reports,VibrationOnly,English+Hindi,FloodAlert=Active
Tamil Nadu,Coimbatore,Industrial,Bus Stop,Night,Low,Good,Clear,Low,Low,66,Enabled,6 reports,Voice+LargeButtons,English+Bengali,FloodAlert=Active
Nagaland,Dimapur,Tourist,Bus Stop,Evening,Low,Poor,Rainy,High,Low,89,Enabled,8 reports,VibrationOnly,English+Punjabi,StormWarning=Active
Odisha,Cuttack,Transit,Metro Station,Morning,Medium,Poor,Stormy,Low,Low,41,Disabled,15 reports,VoiceOnly,English+Bengali,StormWarning=Active
Tamil Nadu,Coimbatore,Urban,Metro Station,Evening,High,Poor,Rainy,Low,Low,74,Enabled,0 reports,Voice+Vibration,English+Assamese,StormWarning=Active
Gujarat,Surat,Residential,Factory Zone,Evening,Low,Good,Stormy,High,Medium,95,Disabled,8 reports,VoiceOnly,English+Tamil,AQI=Poor
Jharkhand,Jamshedpur,Tourist,Metro Station,Evening,Low,Poor,Rainy,High,High,35,Disabled,12 reports,Voice+Vibration,English+Tamil,StormWarning=Active
Punjab,Amritsar,Sensitive,Apartment Complex,Afternoon,High,Good,Rainy,Medium,Medium,90,Disabled,17 reports,Voice+Vibration,English+Assamese,Heatwave=Moderate
Meghalaya,Jowai,Transit,Beach,Morning,Medium,Good,Stormy,Medium,High,42,Disabled,2 reports,VibrationOnly,English+Hindi,AQI=Moderate
Madhya Pradesh,Gwalior,Residential,Forest Path,Night,High,Good,Foggy,Low,Low,54,Enabled,15 reports,Voice+Vibration,English+Bengali,AQI=Poor
Kerala,Kozhikode,Industrial,Temple Area,Morning,Low,Poor,Stormy,High,Medium,15,Disabled,19 reports,VibrationOnly,English+Malayalam,AQI=Moderate
Assam,Guwahati,Industrial,Apartment Complex,Morning,High,Poor,Stormy,Low,Medium,53,Enabled,10 reports,VoiceOnly,English+Punjabi,AQI=Moderate
Delhi,Connaught Place,Transit,Temple Area,Night,High,Good,Stormy,Low,High,11,Enabled,11 reports,Voice+LargeButtons,English+Bengali,StormWarning=Active
Gujarat,Surat,Residential,Apartment Complex,Morning,High,Poor,Stormy,Medium,Low,75,Disabled,12 reports,Voice+Vibration,English+Gujarati,AQI=Moderate
Odisha,Cuttack,Urban,Bus Stop,Evening,Medium,Poor,Sunny,Low,Medium,72,Enabled,4 reports,Voice+LargeButtons,English+Gujarati,StormWarning=Active
Telangana,Hyderabad,Public,Metro Station,Night,Low,Poor,Stormy,High,Medium,45,Enabled,19 reports,VoiceOnly,English+Bengali,FloodAlert=Active
Gujarat,Ahmedabad,Residential,Bus Stop,Afternoon,High,Good,Rainy,Medium,High,23,Disabled,17 reports,Voice+LargeButtons,English+Telugu,StormWarning=Active
Haryana,Panipat,Industrial,City Market,Evening,High,Good,Rainy,High,Medium,25,Disabled,20 reports,Voice+Vibration,English+Hindi,FloodAlert=Active
West Bengal,Kolkata,Residential,Park,Night,Medium,Good,Clear,Low,Low,53,Enabled,1 reports,VoiceOnly,English+Malayalam,FloodAlert=Active
Gujarat,Surat,Industrial,Apartment Complex,Afternoon,Medium,Good,Foggy,Medium,Low,52,Enabled,14 reports,Voice+Vibration,English+Tamil,FloodAlert=Active
Punjab,Amritsar,Tourist,Metro Station,Night,Medium,Good,Stormy,High,High,99,Disabled,6 reports,Voice+Vibration,English+Assamese,AQI=Poor
Goa,Panaji,Urban,Beach,Afternoon,Medium,Good,Stormy,High,Low,64,Enabled,6 reports,Voice+LargeButtons,English+Hindi,FloodAlert=Active
Delhi,Karol Bagh,Industrial,Factory Zone,Afternoon,Medium,Good,Stormy,High,Low,39,Enabled,15 reports,Voice+LargeButtons,English+Tamil,AQI=Moderate
Rajasthan,Jodhpur,Transit,City Market,Night,High,Good,Sunny,Medium,Medium,93,Enabled,10 reports,Voice+Vibration,English+Malayalam,AQI=Good
Goa,Margao,Industrial,Park,Evening,High,Poor,Stormy,Low,Low,71,Enabled,18 reports,VoiceOnly,English+Assamese,AQI=Good
Haryana,Faridabad,Public,Beach,Morning,High,Good,Stormy,Low,Medium,43,Enabled,14 reports,VoiceOnly,English+Tamil,AQI=Moderate
Telangana,Hyderabad,Transit,Factory Zone,Morning,High,Good,Foggy,Low,Low,16,Disabled,10 reports,Voice+Vibration,English+Punjabi,StormWarning=Active
Gujarat,Ahmedabad,Sensitive,Beach,Afternoon,Medium,Good,Rainy,Medium,Medium,74,Disabled,1 reports,Voice+Vibration,English+Gujarati,AQI=Poor
Goa,Margao,Urban,Metro Station,Morning,High,Good,Foggy,Medium,Low,70,Disabled,13 reports,Voice+Vibration,English+Bengali,StormWarning=Active
West Bengal,Howrah,Public,Forest Path,Morning,Low,Good,Stormy,High,Low,35,Disabled,7 reports,VibrationOnly,English+Telugu,StormWarning=Active
Kerala,Kochi,Industrial,Forest Path,Afternoon,Medium,Poor,Rainy,Low,Low,12,Enabled,15 reports,VoiceOnly,English+Assamese,StormWarning=Active
Goa,Margao,Urban,Metro Station,Morning,Low,Poor,Foggy,High,Low,65,Enabled,17 reports,Voice+LargeButtons,English+Bengali,AQI=Moderate
Assam,Guwahati,Sensitive,Park,Morning,High,Poor,Foggy,Medium,High,80,Enabled,17 reports,VibrationOnly,English+Telugu,AQI=Good
Telangana,Hyderabad,Industrial,City Market,Afternoon,Low,Good,Foggy,Low,High,34,Disabled,3 reports,VoiceOnly,English+Malayalam,Heatwave=Moderate
Gujarat,Vadodara,Public,Factory Zone,Evening,Medium,Poor,Stormy,Medium,Medium,99,Enabled,9 reports,VoiceOnly,English+Punjabi,AQI=Moderate
Odisha,Bhubaneswar,Transit,Apartment Complex,Morning,Medium,Good,Stormy,Low,High,41,Disabled,12 reports,VibrationOnly,English+Telugu,Heatwave=Moderate
Madhya Pradesh,Bhopal,Transit,Factory Zone,Morning,Low,Poor,Clear,Medium,High,52,Enabled,4 reports,Voice+LargeButtons,English+Bengali,Heatwave=Moderate
Rajasthan,Jaipur,Industrial,Factory Zone,Afternoon,High,Poor,Rainy,Medium,Medium,26,Disabled,7 reports,VibrationOnly,English+Hindi,AQI=Good
Chhattisgarh,Raipur,Tourist,Park,Night,High,Poor,Foggy,Medium,Low,43,Enabled,9 reports,VibrationOnly,English+Tamil,StormWarning=Active
Assam,Guwahati,Sensitive,Metro Station,Afternoon,High,Good,Clear,Low,Medium,80,Disabled,9 reports,VoiceOnly,English+Hindi,StormWarning=Active
Jharkhand,Jamshedpur,Industrial,Metro Station,Night,High,Good,Foggy,Low,Low,87,Enabled,9 reports,VoiceOnly,English+Hindi,FloodAlert=Active
Kerala,Thiruvananthapuram,Residential,Metro Station,Afternoon,High,Good,Sunny,Low,Low,55,Disabled,15 reports,VibrationOnly,English+Kannada,FloodAlert=Active
Odisha,Puri,Transit,Forest Path,Night,Medium,Good,Clear,High,High,86,Enabled,10 reports,Voice+LargeButtons,English+Kannada,AQI=Poor
West Bengal,Howrah,Tourist,Railway Station,Night,Low,Good,Stormy,High,Low,32,Disabled,4 reports,Voice+Vibration,English+Assamese,Heatwave=Moderate
Delhi,Connaught Place,Urban,Beach,Evening,Low,Good,Foggy,Low,Medium,43,Enabled,13 reports,VibrationOnly,English+Punjabi,AQI=Poor
Chhattisgarh,Korba,Industrial,Bus Stop,Night,Medium,Poor,Clear,Medium,Medium,67,Disabled,15 reports,VibrationOnly,English+Tamil,AQI=Moderate
Karnataka,Hubli,Residential,Factory Zone,Afternoon,Medium,Good,Sunny,Medium,High,89,Disabled,1 reports,VoiceOnly,English+Kannada,FloodAlert=Active
Maharashtra,Nagpur,Transit,Railway Station,Morning,High,Poor,Stormy,Medium,Medium,66,Enabled,4 reports,VoiceOnly,English+Bengali,StormWarning=Active
Madhya Pradesh,Gwalior,Sensitive,Railway Station,Afternoon,Low,Good,Foggy,High,Medium,91,Enabled,13 reports,VibrationOnly,English+Hindi,FloodAlert=Active
Meghalaya,Jowai,Tourist,Park,Morning,Medium,Poor,Foggy,Low,High,38,Disabled,13 reports,Voice+Vibration,English+Gujarati,AQI=Good
Odisha,Bhubaneswar,Residential,Apartment Complex,Evening,High,Poor,Rainy,Low,Low,80,Disabled,11 reports,Voice+LargeButtons,English+Bengali,AQI=Poor
Meghalaya,Jowai,Sensitive,Forest Path,Morning,Low,Good,Stormy,Medium,Medium,100,Enabled,5 reports,Voice+Vibration,English+Kannada,AQI=Good
Rajasthan,Jaipur,Urban,Factory Zone,Afternoon,Low,Poor,Foggy,Medium,High,75,Disabled,15 reports,Voice+Vibration,English+Gujarati,FloodAlert=Active
Punjab,Ludhiana,Transit,Temple Area,Afternoon,High,Poor,Clear,High,Low,10,Disabled,3 reports,Voice+LargeButtons,English+Telugu,AQI=Good
Goa,Vasco,Urban,Apartment Complex,Night,Medium,Good,Foggy,Medium,Low,49,Disabled,4 reports,Voice+Vibration,English+Malayalam,AQI=Poor
Chhattisgarh,Raipur,Tourist,City Market,Night,High,Poor,Rainy,High,Medium,90,Disabled,1 reports,VoiceOnly,English+Bengali,AQI=Good
West Bengal,Howrah,Urban,Railway Station,Evening,Low,Good,Foggy,Low,High,56,Enabled,5 reports,VoiceOnly,English+Kannada,AQI=Moderate
Maharashtra,Nagpur,Public,Temple Area,Morning,High,Poor,Stormy,Medium,Medium,41,Enabled,4 reports,Voice+Vibration,English+Assamese,AQI=Moderate
Chhattisgarh,Bilaspur,Urban,City Market,Evening,High,Poor,Rainy,Low,Low,44,Disabled,3 reports,VibrationOnly,English+Malayalam,Heatwave=Moderate
Madhya Pradesh,Indore,Tourist,Apartment Complex,Afternoon,High,Poor,Rainy,High,Medium,78,Enabled,5 reports,Voice+Vibration,English+Telugu,StormWarning=Active
Delhi,Dwarka,Sensitive,Park,Evening,Low,Poor,Sunny,Low,High,69,Disabled,19 reports,Voice+Vibration,English+Gujarati,StormWarning=Active
Assam,Tezpur,Tourist,Apartment Complex,Evening,Medium,Good,Sunny,Low,Low,63,Disabled,5 reports,VibrationOnly,English+Hindi,FloodAlert=Active
Kerala,Kozhikode,Tourist,Apartment Complex,Morning,Low,Poor,Sunny,Low,Low,51,Disabled,2 reports,Voice+Vibration,English+Hindi,FloodAlert=Active
Odisha,Puri,Transit,Temple Area,Afternoon,Low,Poor,Rainy,Medium,High,89,Disabled,1 reports,Voice+Vibration,English+Bengali,FloodAlert=Active
Kerala,Thiruvananthapuram,Tourist,Temple Area,Night,Medium,Poor,Rainy,Low,Medium,52,Disabled,5 reports,Voice+Vibration,English+Bengali,StormWarning=Active
Odisha,Bhubaneswar,Industrial,Apartment Complex,Morning,Medium,Good,Rainy,Low,Low,89,Enabled,8 reports,Voice+Vibration,English+Gujarati,StormWarning=Active
Delhi,Connaught Place,Sensitive,Railway Station,Night,High,Poor,Sunny,Low,Low,97,Enabled,7 reports,VibrationOnly,English+Malayalam,AQI=Good
Assam,Guwahati,Urban,Bus Stop,Morning,Low,Good,Clear,High,High,53,Disabled,3 reports,VibrationOnly,English+Hindi,StormWarning=Active
Rajasthan,Jaipur,Urban,City Market,Morning,Low,Poor,Stormy,High,Medium,46,Disabled,14 reports,VibrationOnly,English+Kannada,Heatwave=Moderate
Kerala,Thiruvananthapuram,Tourist,Apartment Complex,Morning,Low,Good,Rainy,High,High,96,Enabled,1 reports,Voice+Vibration,English+Punjabi,FloodAlert=Active
Haryana,Faridabad,Transit,City Market,Morning,High,Good,Foggy,Low,Medium,96,Disabled,15 reports,VibrationOnly,English+Bengali,StormWarning=Active
Haryana,Gurgaon,Industrial,Bus Stop,Night,Medium,Poor,Foggy,Low,High,69,Disabled,20 reports,Voice+Vibration,English+Assamese,AQI=Moderate
Telangana,Warangal,Urban,Metro Station,Night,Low,Poor,Sunny,Medium,Medium,14,Disabled,0 reports,VibrationOnly,English+Malayalam,AQI=Poor
West Bengal,Siliguri,Industrial,Beach,Night,Medium,Good,Foggy,Medium,High,16,Disabled,2 reports,VoiceOnly,English+Assamese,AQI=Good
Odisha,Puri,Transit,Forest Path,Evening,Low,Good,Sunny,Medium,Low,29,Disabled,7 reports,Voice+Vibration,English+Punjabi,Heatwave=Moderate
West Bengal,Siliguri,Industrial,Railway Station,Evening,High,Good,Rainy,High,Low,64,Disabled,7 reports,Voice+LargeButtons,English+Assamese,Heatwave=Moderate
Nagaland,Dimapur,Industrial,Railway Station,Morning,Medium,Good,Stormy,Medium,High,14,Enabled,20 reports,VibrationOnly,English+Gujarati,AQI=Good
Goa,Vasco,Residential,Factory Zone,Morning,High,Poor,Clear,High,High,69,Disabled,5 reports,Voice+Vibration,English+Kannada,AQI=Moderate
Odisha,Cuttack,Urban,Metro Station,Morning,High,Poor,Rainy,Medium,Medium,99,Disabled,10 reports,VibrationOnly,English+Hindi,AQI=Good
West Bengal,Siliguri,Tourist,Forest Path,Afternoon,Low,Good,Rainy,Low,Low,100,Disabled,4 reports,Voice+Vibration,English+Bengali,StormWarning=Active
Odisha,Bhubaneswar,Industrial,Factory Zone,Afternoon,Medium,Poor,Foggy,Low,Medium,77,Disabled,14 reports,VibrationOnly,English+Bengali,AQI=Good
Karnataka,Bengaluru,Residential,Apartment Complex,Night,Low,Good,Clear,High,Medium,79,Disabled,12 reports,VibrationOnly,English+Malayalam,AQI=Moderate
Maharashtra,Nagpur,Industrial,Park,Night,High,Good,Foggy,Medium,Medium,39,Disabled,9 reports,VibrationOnly,English+Hindi,AQI=Good
Odisha,Cuttack,Urban,Bus Stop,Evening,Low,Poor,Stormy,High,Medium,73,Enabled,6 reports,VibrationOnly,English+Bengali,StormWarning=Active
Jharkhand,Jamshedpur,Transit,Temple Area,Evening,Low,Good,Rainy,Low,Medium,72,Disabled,9 reports,Voice+LargeButtons,English+Hindi,Heatwave=Moderate
West Bengal,Howrah,Industrial,City Market,Afternoon,Medium,Good,Foggy,Low,Low,31,Disabled,17 reports,Voice+LargeButtons,English+Kannada,AQI=Good
Telangana,Warangal,Transit,City Market,Night,Medium,Poor,Rainy,Low,Medium,52,Disabled,16 reports,VoiceOnly,English+Gujarati,Heatwave=Moderate
Jharkhand,Ranchi,Tourist,Temple Area,Morning,Low,Good,Stormy,Medium,Medium,35,Enabled,0 reports,VibrationOnly,English+Hindi,AQI=Poor
Jharkhand,Ranchi,Residential,Apartment Complex,Night,High,Good,Stormy,High,Medium,70,Enabled,4 reports,Voice+Vibration,English+Tamil,AQI=Good
Punjab,Ludhiana,Public,Apartment Complex,Evening,High,Poor,Rainy,Low,High,20,Disabled,4 reports,Voice+LargeButtons,English+Malayalam,AQI=Good
Punjab,Ludhiana,Urban,Bus Stop,Evening,High,Poor,Sunny,Medium,Medium,87,Disabled,14 reports,Voice+LargeButtons,English+Punjabi,AQI=Poor
Maharashtra,Pune,Public,Beach,Evening,Low,Poor,Rainy,High,High,35,Disabled,20 reports,Voice+Vibration,English+Kannada,Heatwave=Moderate
Rajasthan,Jodhpur,Industrial,Park,Evening,High,Poor,Stormy,High,Low,75,Disabled,1 reports,Voice+Vibration,English+Assamese,AQI=Poor
Rajasthan,Udaipur,Residential,Beach,Evening,Low,Good,Sunny,Low,High,10,Disabled,6 reports,Voice+Vibration,English+Hindi,Heatwave=Moderate
Odisha,Cuttack,Residential,Temple Area,Afternoon,High,Poor,Stormy,Low,High,99,Enabled,15 reports,Voice+Vibration,English+Kannada,StormWarning=Active
Kerala,Kozhikode,Residential,Beach,Afternoon,High,Poor,Foggy,Low,Low,20,Enabled,7 reports,VoiceOnly,English+Gujarati,AQI=Moderate
Telangana,Hyderabad,Urban,Forest Path,Evening,Medium,Good,Rainy,Medium,High,92,Disabled,17 reports,Voice+LargeButtons,English+Malayalam,StormWarning=Active
Kerala,Kochi,Transit,Metro Station,Morning,Low,Good,Rainy,High,Medium,53,Disabled,5 reports,Voice+Vibration,English+Telugu,AQI=Poor
Nagaland,Mokokchung,Transit,Park,Night,High,Poor,Foggy,Medium,High,51,Disabled,3 reports,Voice+LargeButtons,English+Tamil,Heatwave=Moderate
Gujarat,Surat,Residential,Factory Zone,Night,Low,Good,Foggy,High,Medium,30,Disabled,20 reports,Voice+Vibration,English+Tamil,FloodAlert=Active
Odisha,Cuttack,Urban,Apartment Complex,Afternoon,High,Good,Stormy,High,Medium,64,Enabled,9 reports,VoiceOnly,English+Hindi,StormWarning=Active
Jharkhand,Ranchi,Public,City Market,Afternoon,Medium,Poor,Clear,Medium,Low,68,Disabled,4 reports,Voice+LargeButtons,English+Telugu,Heatwave=Moderate
Delhi,Dwarka,Tourist,Temple Area,Afternoon,High,Good,Sunny,Low,High,88,Disabled,0 reports,Voice+Vibration,English+Bengali,AQI=Good
Tamil Nadu,Chennai,Sensitive,Park,Morning,Low,Good,Foggy,Medium,Medium,59,Disabled,11 reports,Voice+LargeButtons,English+Gujarati,Heatwave=Moderate
Meghalaya,Shillong,Industrial,Railway Station,Morning,High,Poor,Clear,Low,Low,97,Enabled,6 reports,VibrationOnly,English+Kannada,AQI=Good
West Bengal,Kolkata,Transit,Railway Station,Afternoon,High,Good,Foggy,High,Medium,46,Enabled,14 reports,VibrationOnly,English+Gujarati,AQI=Poor
Tamil Nadu,Coimbatore,Industrial,Forest Path,Afternoon,Low,Poor,Sunny,Low,High,15,Enabled,5 reports,Voice+Vibration,English+Kannada,FloodAlert=Active
Madhya Pradesh,Indore,Transit,Temple Area,Evening,High,Poor,Foggy,Low,Medium,38,Disabled,2 reports,Voice+LargeButtons,English+Hindi,AQI=Moderate
Madhya Pradesh,Indore,Urban,Metro Station,Evening,Medium,Good,Foggy,Low,Low,43,Enabled,3 reports,VibrationOnly,English+Kannada,AQI=Poor
Nagaland,Dimapur,Public,Factory Zone,Night,Low,Poor,Sunny,Medium,Low,31,Disabled,1 reports,VibrationOnly,English+Telugu,StormWarning=Active
Goa,Vasco,Urban,Temple Area,Afternoon,Low,Poor,Stormy,Low,Medium,72,Disabled,16 reports,Voice+Vibration,English+Punjabi,AQI=Good
Telangana,Nizamabad,Transit,Factory Zone,Afternoon,High,Poor,Foggy,Low,Medium,30,Disabled,9 reports,VoiceOnly,English+Telugu,AQI=Moderate
Jharkhand,Dhanbad,Urban,Apartment Complex,Night,High,Poor,Rainy,High,Low,80,Disabled,13 reports,Voice+Vibration,English+Hindi,AQI=Good
Chhattisgarh,Korba,Residential,Railway Station,Morning,High,Good,Clear,Low,High,68,Enabled,19 reports,VibrationOnly,English+Tamil,StormWarning=Active
Assam,Silchar,Sensitive,Temple Area,Afternoon,Medium,Poor,Stormy,Medium,High,82,Enabled,6 reports,Voice+LargeButtons,English+Punjabi,AQI=Moderate
Madhya Pradesh,Indore,Tourist,Park,Night,Low,Good,Rainy,High,High,24,Enabled,2 reports,Voice+Vibration,English+Gujarati,AQI=Good
Gujarat,Ahmedabad,Residential,Metro Station,Night,Medium,Good,Rainy,Low,High,54,Enabled,6 reports,VibrationOnly,English+Bengali,AQI=Poor
Uttar Pradesh,Kanpur,Urban,Factory Zone,Afternoon,High,Good,Stormy,Low,High,59,Disabled,11 reports,Voice+LargeButtons,English+Gujarati,Heatwave=Moderate
Gujarat,Ahmedabad,Tourist,Bus Stop,Evening,Low,Good,Foggy,Medium,Low,16,Enabled,10 reports,VoiceOnly,English+Malayalam,AQI=Moderate
Rajasthan,Jaipur,Tourist,Forest Path,Afternoon,High,Poor,Sunny,Medium,Medium,81,Disabled,1 reports,VoiceOnly,English+Gujarati,AQI=Moderate
Meghalaya,Tura,Public,Metro Station,Afternoon,Medium,Good,Rainy,Medium,Medium,16,Enabled,7 reports,Voice+LargeButtons,English+Malayalam,AQI=Moderate
Kerala,Kozhikode,Public,City Market,Evening,Medium,Poor,Clear,Medium,High,25,Enabled,7 reports,VibrationOnly,English+Malayalam,AQI=Poor
